ID,item_cnt_month
0,0.46177208
1,0.09663692
2,0.8182835
3,0.14839807
4,0.09663692
5,0.48644084
6,1.0497359
7,0.106330305
8,0.8933608
9,0.09663692
10,2.9676466
11,0.20900767
12,0.08927616
13,0.33280796
14,1.7544756
15,2.8141422
16,0.09663692
17,0.10100391
18,1.3195227
19,0.066274896
20,0.7185578
21,0.09663692
22,0.9054857
23,0.78039557
24,1.4956919
25,0.09663692
26,0.09663692
27,0.5065312
28,0.8141701
29,3.2689118
30,0.3917468
31,0.09663693
32,0.4270931
33,0.58906895
34,0.08708016
35,0.09026088
36,0.10589314
37,0.5151059
38,0.21677656
39,0.10562865
40,0.6015284
41,1.0914841
42,3.5887353
43,3.6425936
44,0.37301743
45,0.09663692
46,0.70396096
47,0.16755812
48,0.22764128
49,0.9767147
50,1.2327652
51,0.20900767
52,0.6353172
53,0.16402414
54,6.388524
55,2.9022305
56,2.7255166
57,2.3266447
58,5.2822213
59,4.188007
60,4.767428
61,0.46910578
62,0.3495922
63,0.3361503
64,0.09663692
65,0.09663692
66,0.80005294
67,0.0917456
68,0.37301743
69,0.115127355
70,0.09663692
71,1.7201929
72,0.48968434
73,0.9686161
74,0.09663692
75,0.09663692
76,0.32551068
77,0.09663692
78,0.34943247
79,0.60766685
80,0.86874276
81,3.046781
82,0.7041133
83,0.19988047
84,0.97274244
85,1.2548199
86,0.69683045
87,0.090008266
88,3.7564714
89,1.3563069
90,0.8062677
91,0.3582701
92,1.9867306
93,0.14839807
94,0.18169472
95,0.08329144
96,0.0917456
97,0.46690297
98,0.6503489
99,1.38673
100,0.60777
101,0.6584218
102,0.22204413
103,0.3582701
104,0.09058522
105,0.09663692
106,0.09663692
107,0.53351873
108,0.099300794
109,0.09663692
110,0.19968612
111,0.09663692
112,0.09663692
113,0.09663692
114,0.28868872
115,0.25750852
116,0.09663692
117,0.10959736
118,9.2473
119,0.11682499
120,0.07199179
121,0.08847314
122,0.3273493
123,0.5399016
124,0.5237457
125,1.2141378
126,0.09663693
127,0.08253525
128,0.09663692
129,0.21625367
130,0.3582701
131,0.09663692
132,0.3582701
133,2.8707078
134,0.083069906
135,0.3582701
136,0.20900767
137,0.09663692
138,0.9403913
139,0.09663692
140,0.20675097
141,0.46480417
142,0.115600444
143,0.20900767
144,0.09663692
145,0.09663692
146,0.09663692
147,0.1395863
148,0.09663692
149,0.09663692
150,0.10897932
151,0.09663692
152,5.4814315
153,0.25906867
154,0.09663692
155,0.1716412
156,0.22212173
157,0.08938441
158,0.1510985
159,0.37002882
160,0.09663692
161,0.20900767
162,0.09663692
163,0.46789235
164,0.3518385
165,0.098654255
166,0.55554104
167,0.10126606
168,0.09663692
169,0.10054949
170,0.20900767
171,0.51564187
172,0.3339718
173,1.1726279
174,1.5026479
175,3.0001109
176,1.2740059
177,0.09663692
178,0.45263523
179,0.0991178
180,0.9904975
181,0.36993873
182,0.09663692
183,0.13579676
184,0.20231456
185,0.09663692
186,0.09827613
187,0.17008853
188,0.09663692
189,0.09663692
190,0.09663693
191,0.600779
192,0.6015284
193,0.13877721
194,0.08938441
195,0.12761123
196,0.3582701
197,2.995564
198,1.2280345
199,0.09663692
200,0.09663692
201,0.09663692
202,0.17266046
203,1.2429279
204,0.11765579
205,0.09663692
206,0.09663692
207,0.089279175
208,1.3716552
209,0.5179552
210,0.20978275
211,0.11563961
212,0.08680981
213,0.3582701
214,0.107371956
215,0.6116372
216,0.445386
217,0.21607628
218,2.19493
219,0.46551132
220,0.40853104
221,0.09663692
222,0.09663693
223,0.77176934
224,2.58137
225,0.36917812
226,0.3736338
227,0.09663692
228,0.20294318
229,0.09663692
230,0.09663692
